x,y,z
0.0176925,0.00691207,0.717837
0.023744,0.0118583,0.717367
-0.0578408,0.00399628,0.734519
0.00460086,-0.00888754,0.694416
0.0146954,0.0101838,0.680671
0.0143831,0.0109345,0.680172
-0.0169027,-0.0177798,0.703934
0.00353539,0.00818016,0.726564
-0.0231349,-0.0186009,0.706458
-0.0129695,-0.0189936,0.706029
-0.0406487,-0.0139053,0.710338
0.014512,0.0134471,0.728774
0.00446396,-0.00411628,0.700146
0.00454631,-0.00414323,0.700173
0.00378568,0.00765598,0.735719
0.00341506,-0.00448925,0.701538
-0.00882541,-0.00130555,0.744177
-0.0378893,-0.0139006,0.71349
0.000698241,0.000362783,0.742527
-0.0178371,-0.00348447,0.747744
0.0060626,-0.000148181,0.743309
-0.0428734,-0.0105319,0.715313
0.00399353,-0.00345085,0.74836
0.00964307,0.00157078,0.702258
-0.0154179,-0.0117762,0.71408
-0.0832352,-1.37253e-05,0.758172
0.0259018,0.00194817,0.743512
-0.0287005,-0.0130142,0.717978
0.021828,0.0023933,0.746871
-0.0286269,-0.0119427,0.718937
0.0052155,-0.00295039,0.709788
0.0149622,0.00122059,0.749799
-0.0443373,-0.00661939,0.719807
0.0100341,0.00228649,0.708203
-0.0133974,-0.00704539,0.71798
0.022736,-0.00246881,0.756499
-0.0020925,-0.00241797,0.716104
-0.00213004,-0.00251266,0.716188
0.01393,0.00863492,0.710837
-0.0256781,-0.00626506,0.725598
0.0182645,0.000201067,0.76269
-0.0151648,-0.00507403,0.726707
0.00325547,0.00045247,0.720984
0.00532822,0.00189994,0.720634
0.00526624,0.00196824,0.720553
-0.0197908,-0.00525108,0.728333
-0.0311678,-0.00455154,0.730283
0.0156449,0.00774336,0.718147
-0.0406737,-0.00328477,0.735167
0.00246414,0.00638388,0.725361
-0.0226019,0.0015155,0.738957
-0.0449186,0.000796659,0.743428
0.0077593,0.0123708,0.73006
-0.017678,-0.00876359,0.754452
0.019585,0.00041543,0.744886
0.0293436,0.00402988,0.744696
0.00714394,-0.00426573,0.759978
-0.0128635,-0.00492949,0.767699
0.00217315,-0.0059429,0.647438
-0.00947337,-0.0293992,0.667922
-0.0046908,-0.00451453,0.748847
-0.0254662,-0.031103,0.673922
-0.0253586,-0.0308921,0.676134
-0.0414577,-0.0126888,0.761293
-0.0415114,-0.0127809,0.761222
-0.00522438,-0.0236643,0.674613
-0.010908,-0.0257983,0.682499
-0.00794623,-0.0248936,0.68194
0.00238716,-0.0135599,0.68241
5.30118e-06,-0.0173671,0.688115
0.00207453,-0.0108976,0.695301
-0.000466714,-0.0120732,0.696024
-0.0250902,-0.0178529,0.703762
-0.00747562,-0.0176603,0.701874
-0.0383112,-0.0156151,0.706331
-0.0126496,-0.0143465,0.713105
-0.0317674,-0.0124737,0.719033
0.0143888,0.016032,0.695094
-0.00240097,-0.00285374,0.713467
-0.0281311,-0.00930493,0.721777
-0.0023465,-0.00227386,0.716046
-0.00188175,-0.00104855,0.719737
0.0161625,0.00798299,0.713591
-0.00251646,-0.000247181,0.733673
0.0225537,0.008892,0.733657
-0.0155605,-0.00775618,0.752142
-0.091953,0.00120046,0.757664
-0.00500679,-0.00621895,0.762338
0.0127309,-0.00272826,0.759116
0.0248969,-0.00116682,0.757213
0.0213374,-0.00131807,0.757956
-0.0511831,-0.022251,0.662171
-0.0235288,-0.0322495,0.670886
-0.0355942,-0.0298575,0.67424
-0.00152386,-0.0215219,0.667479
-0.033541,-0.0274942,0.680012
-0.0198712,-0.0277742,0.681416
-0.02795,-0.0280945,0.682364
-0.00997631,-0.0249174,0.678882
-0.0408268,-0.0207099,0.686787
-0.00272529,-0.0194389,0.686201
0.0103754,0.00125618,0.671439
-0.00423951,-0.0189214,0.688795
-0.00240282,-0.0149069,0.689499
-0.0101444,-0.0224621,0.698503
0.00228379,-0.0124772,0.693365
0.0137311,0.00641956,0.680154
0.00460742,-0.00461819,0.699496
0.00848231,-0.00419743,0.678388
0.000924214,-0.0150844,0.689209
-0.00812943,-0.019664,0.693637
0.000227725,-0.00504358,0.707636
-0.0389554,-0.0117383,0.717485
-0.00553799,-0.0094749,0.712359
-0.0343105,-0.0126385,0.718629
-0.000902346,-0.0037879,0.711249
-0.027078,-0.0185896,0.707063
-0.00475775,-0.00131227,0.720804
-0.00909002,-0.01774,0.705048
-0.0527445,-0.00605798,0.734063
-0.0289755,-0.00205555,0.730698
-0.0209512,-0.0167419,0.709712
-0.0137833,-5.51762e-05,0.729047
-0.0442727,-0.000215155,0.739523
-0.0409793,0.00280748,0.741174
0.00505438,0.0109179,0.730657
-0.0439255,-0.0109652,0.713005
-0.0294166,-0.00750059,0.724281
-0.0435824,-0.00941476,0.733725
-0.025791,0.000909763,0.732598
-0.0254948,0.000351139,0.732936
-0.00933968,0.000199824,0.739237
-0.043694,-0.0322818,0.670602
0.00466958,0.000321883,0.658412
0.00230728,-0.015008,0.67155
-0.0219686,-0.0276716,0.68452
-0.0242184,-0.0255817,0.687809
-0.041446,-0.0154956,0.707022
-0.00348613,-0.0208689,0.683601
-0.00357905,-0.0206291,0.6835
0.00814778,0.000236206,0.668269
0.00135424,-0.00837931,0.69879
0.0120089,0.0067711,0.690877
0.00505484,-0.000515578,0.714135
-0.0128669,-0.0153883,0.708812
-0.026808,-0.0141768,0.715247
0.0106552,0.00592832,0.702126
0.0142243,0.00936674,0.70338
-0.0327453,-0.00991978,0.72169
-0.000924444,-0.0017044,0.71621
0.0133139,0.00794231,0.709418
-0.049853,-0.00590029,0.728296
-0.0230459,-0.00500773,0.727974
-0.0165059,-0.0045944,0.731649
0.0087154,0.00863766,0.724464
-0.00358903,-0.00206596,0.742947
-0.0106271,-0.00251849,0.746482
-0.0359945,-0.00571136,0.732876
0.0658577,0.00665286,0.748158
0.00738399,0.00288298,0.739385
-0.0358628,-0.0115386,0.760085
0.0162627,0.000440791,0.746764
-0.0171194,-0.007815,0.755845
-0.0362715,-0.0112999,0.77126
-0.011843,-0.00547297,0.765105
0.0186521,-0.000401196,0.759914
-0.0216245,-0.0281541,0.679191
-0.0340659,-0.0221416,0.692319
0.0056356,-0.010127,0.687257
0.0110769,-0.00170986,0.68478
0.00719364,-0.00559761,0.69184
-0.0330562,0.0029873,0.736533
0.0121364,-0.00143631,0.760867
-0.0252479,-0.0217074,0.69936
-0.0275648,-0.0156888,0.713643
2.68124e-05,0.000136091,0.719331
-0.0216173,0.00155389,0.742196
-0.00816993,-0.00517869,0.716437
-0.0382252,-0.0195653,0.701718
0.0138563,0.0136186,0.694274
-0.0207061,-0.0184702,0.706649
-0.0255376,-0.0187991,0.70761
-0.0520669,-0.00916523,0.706405
0.00465137,-0.00295163,0.70412
-0.0282895,-0.0181497,0.709411
-0.0501378,-0.00911717,0.710135
-0.0501805,-0.00897364,0.71006
-0.0480228,-0.00978043,0.710584
-0.0267126,-0.0159712,0.71213
-0.0512465,-0.00769961,0.712037
0.00816885,0.00119285,0.708538
-0.0199829,-0.0135007,0.714042
0.00244544,-0.00193837,0.711158
0.0148923,0.00961126,0.709381
-0.0134281,-0.0091256,0.716197
0.00784386,0.00257627,0.717492
0.00720333,0.00145092,0.720161
0.00469637,0.00174934,0.720635
-0.0263046,-0.00732373,0.724677
-0.0263543,-0.00727692,0.724668
-0.113917,0.0470566,0.716088
-0.00843801,-0.00181888,0.724463
-0.0249201,-0.00548628,0.726706
-0.0384575,-0.00629079,0.727416
-0.0289097,-0.0035885,0.728073
-0.0509153,-0.00850779,0.730767
-0.0298575,-0.00461077,0.730114
-0.0290916,-0.000214674,0.730538
-0.0509313,-0.00824208,0.732935
-0.117157,0.035346,0.729507
-0.0378225,-0.0189699,0.700578
0.00547838,0.0116027,0.731967
-0.0570803,-0.00638529,0.705032
-0.0233568,0.00247376,0.738034
-0.0187132,-0.0176868,0.707152
-0.0262094,0.00265658,0.738773
-0.0470669,-0.000733469,0.740649
-0.0394161,-0.0133815,0.708129
-0.0174963,0.00321984,0.739562
0.0216324,0.00514173,0.738745
0.00459458,0.000897583,0.742185
0.0180822,0.0140323,0.706817
-0.027846,0.00129993,0.743568
0.00466995,-0.00154229,0.711204
0.025488,0.0021811,0.742076
-0.0145095,0.00116162,0.743715
0.00659854,-0.000216145,0.712468
-0.105801,0.0188006,0.743769
-0.0219309,-0.00131042,0.745277
-0.0382547,-0.0121465,0.718795
-0.102852,0.014599,0.747016
-0.00357513,-0.00402016,0.747797
-0.0215839,-0.00730121,0.720475
0.00413801,-0.00364334,0.748462
0.0132481,0.00271873,0.718423
-0.0544038,-0.00153311,0.722012
-0.0181898,-0.00703159,0.751673
-0.0150974,-0.00831065,0.75289
-0.0145536,-0.00298312,0.723738
-0.0212918,-0.00525428,0.726591
0.00764981,0.00633573,0.72308
-0.0330079,-0.0118237,0.758447
-0.0331458,-0.00614907,0.728275
-0.084814,-0.000107802,0.758484
-0.044203,-0.0096931,0.732004
-0.0354988,-0.00624818,0.731726
0.0210143,0.0160871,0.725956
-0.00145549,-0.00626061,0.760214
0.0293786,0.00209024,0.760603
-0.0429029,-0.0116301,0.765347
0.026286,0.00109479,0.761466
0.0681952,0.0590693,0.723065
-0.0122396,-0.00459231,0.766254
0.0250805,0.00717182,0.736123
-0.0385611,-0.0134428,0.768938
-0.00909496,-0.00440893,0.767162
-0.0131197,0.00355818,0.739537
-0.00678627,-0.00285203,0.740754
-0.0467775,-0.00021797,0.741921
0.00458669,0.00351658,0.739747
-0.0109961,0.00202201,0.741439
-0.0244466,-0.000904152,0.742491
-0.0015049,-0.000972,0.741877
-0.0347117,-0.00256552,0.744018
0.0352584,0.00675886,0.743907
-0.00500455,-0.00331728,0.747371
-0.0133627,-0.00730949,0.753567
-0.0155009,-0.00809779,0.754052
0.031531,-0.000868092,0.75593
0.0635936,-0.00268431,0.756148
0.00192401,-0.00617296,0.759567
0.0251083,0.00181528,0.760587
-0.0391316,-0.0127005,0.770056
-0.0310837,-0.00824081,0.772292
-0.0660886,-0.0251913,0.783161
-0.066279,-0.0247716,0.783116
-0.0449596,-0.0148997,0.705503
-0.00776314,-0.0182587,0.706246
0.00581851,-0.00272457,0.702993
0.00600987,-0.00217064,0.704349
-0.0426035,-0.0119918,0.710871
0.00126412,-0.000919402,0.722209
-0.0442598,-0.00329952,0.724495
0.0176918,0.013246,0.729326
-0.000127576,0.000931899,0.733112
0.0152114,0.0133135,0.730369
0.000299137,-0.000595502,0.735094
-0.0111491,0.000698648,0.738622
-0.05054,0.000922524,0.744972
-0.0459029,-0.001951,0.748093
0.0600709,0.0123366,0.742413
-0.0068213,-0.00321562,0.747548
-0.017302,-0.0052154,0.750639
-0.0446504,-0.0135901,0.760355
-0.0344994,-0.00878371,0.771192
-0.0492163,-0.0131708,0.764605
-0.0258955,-0.017445,0.709975
0.0169314,0.0119393,0.704096
-0.0394613,-0.0121335,0.715221
-0.0316341,-0.0122771,0.718914
-0.0188446,-0.00570379,0.769933
0.00354039,0.000524247,0.72121
-0.00807854,0.00409023,0.728705
-0.0349216,-0.0131232,0.774524
0.0707751,0.0676556,0.716473
0.0250685,0.0125598,0.728613
0.0318922,0.0125186,0.732317
-0.0308875,0.0020502,0.742123
-0.0798813,-0.000416989,0.760878
0.0128487,-0.00320983,0.759274
0.0240189,0.000687178,0.762517
0.0172962,6.72097e-05,0.762884
-0.00153264,-0.00340488,0.766246
0.0102406,0.0046311,0.69612
0.00209453,0.00319047,0.723854
-0.0164781,-0.00300693,0.730426
0.0215438,0.0166667,0.726809
-0.00212851,0.00123079,0.731916
-0.00891488,0.0036694,0.731863
-0.0352779,0.00187857,0.740594
0.00134942,0.00225656,0.739772
-0.0148375,-0.00162586,0.746092
-0.0518654,0.000366679,0.747072
0.0155463,0.000657025,0.750477
-0.0338407,-0.00616966,0.75548
-0.0838027,6.69326e-05,0.757491
-0.0460604,-0.011609,0.75899
-0.0532244,-0.0109704,0.762653
0.00996823,0.00396123,0.7075
-0.012805,-0.0129078,0.712677
-0.0367994,-0.0125733,0.715701
-0.00489237,-0.00210415,0.724219
-0.00749975,0.00279921,0.726309
0.0230957,0.00833409,0.734362
-0.0187301,0.00231933,0.738514
-0.0151685,0.00272182,0.741253
-0.018201,-0.00238824,0.747389
-0.00473306,-0.00468163,0.749447
-0.0100733,-0.00664404,0.750246
-0.0195658,-0.00600925,0.751683
-0.080131,-0.00139638,0.760057
0.0298907,0.0120184,0.731705
0.0254594,0.006496,0.737668
0.0330132,0.0060131,0.742173
0.0231778,0.00210337,0.744825
0.0162732,0.000271779,0.746968
0.0634674,0.0125186,0.743786
-0.0168585,-0.00857782,0.755604
-0.0376103,-0.0112922,0.765866
-0.0364598,-0.0130813,0.771262
-0.0247324,0.000656135,0.740214
0.000870003,-0.000578016,0.74527
0.00829376,-0.0013894,0.748638
-0.0147953,-0.00669246,0.751073
-0.0242441,-0.00813661,0.752805
0.00418047,-0.00382398,0.766256
0.012652,0.00262817,0.717087
-0.00330797,0.00225504,0.727414
-0.00362759,0.00138883,0.734582
0.00631524,0.00640739,0.736264
0.0302607,-0.00180809,0.758847
0.014206,0.00737543,0.709702
-0.0142443,-0.00391302,0.72738
0.0236111,0.0176623,0.722322
0.0607575,0.0395197,0.717604
0.00869401,0.0118085,0.728156
-0.015586,0.000665236,0.734796
0.0641496,0.0215464,0.73421
-0.0449456,-0.0142797,0.772345
-0.0323232,-0.000193464,0.736065
-0.0457313,-0.00709644,0.720463
0.00260906,-0.000749455,0.713151
-0.116983,0.0343906,0.729696
-0.00599858,-0.00267426,0.719469
-0.0358976,-0.00735912,0.72815
0.0017373,-7.86439e-05,0.720808
0.0221234,0.0111262,0.718009
0.0221073,0.00981371,0.718234
-0.0364239,0.00355549,0.739396
0.00519014,0.00938362,0.729026
-0.0169288,0.00374386,0.737124
-0.0142381,-0.00412409,0.748568
0.0608338,0.0300825,0.727073
0.0168799,0.00162365,0.749234
-0.0186371,-0.00637417,0.759087
0.0644981,0.0172221,0.739232
-0.0392804,-0.0124166,0.769943
-0.00120008,-0.00340846,0.764561
0.0226469,0.00137347,0.760939
0.0088956,0.00180329,0.708893
-0.0437381,-0.00408933,0.725734
-0.0331705,-0.00635619,0.728304
-0.03032,-0.00459844,0.728942
-0.054908,-0.00169281,0.722053
-0.0199379,-0.00839949,0.720406
-0.000447887,0.00314971,0.730726
0.022093,0.0119649,0.730389
0.000684887,-0.000208834,0.743868
-0.114624,0.0421017,0.722893
0.00338356,-4.74023e-05,0.721223
-0.00822109,0.0046323,0.728637
0.0101035,-0.00390632,0.75971
-0.0273468,-0.00395049,0.728549
0.00723593,0.00136501,0.712879
-0.0163371,-0.00149525,0.730035
-0.047261,-0.0131244,0.766726
0.018591,-6.96994e-05,0.759764
0.00469562,0.000392943,0.713799
-0.0142239,-0.00403121,0.727404
-0.00317282,0.00252728,0.727011
-0.00968582,-0.00557635,0.753547
-0.0157645,-0.00434118,0.725837
0.0262379,0.0134357,0.720073
-0.0525579,-0.0075473,0.730276
-0.0520713,-0.00770462,0.731434
0.0221705,0.0151553,0.723047
0.00115672,0.006825,0.726356
0.00791468,0.00465464,0.738416
0.00895505,0.00264747,0.740385
-0.0530036,0.000929913,0.746136
-0.0469865,-0.001225,0.746576
0.00585124,-0.000985574,0.7446
-0.0925256,-0.0151219,0.756246
-0.0497854,-0.0115547,0.76596
-0.0855504,0.00324421,0.765953
0.0202209,-0.000402086,0.760367
-0.0874338,0.00534842,0.766391
0.0322488,0.00180583,0.760358
0.0349147,-0.00591427,0.768858
-0.0692213,-0.0218364,0.779599
-0.116824,0.0366182,0.727953
-0.00582923,0.00374667,0.730556
-0.021136,0.00034603,0.741067
0.0319288,0.00434339,0.741616
-0.0172235,-0.00605769,0.750894
0.0128641,0.000701976,0.750316
0.00483528,-0.00575659,0.759323
0.032765,0.000866779,0.761408
-0.00567113,-0.00273964,0.722765
-0.0249024,7.20151e-05,0.74398
0.0189818,0.000785331,0.761005
-0.0108503,0.000793461,0.741356
-0.0120371,0.000667466,0.743378
0.0169899,0.013149,0.722516
0.0321928,0.00575345,0.737327
0.0303678,0.00108677,0.762376
-0.114182,0.0406034,0.723008
0.0104411,0.0100327,0.732466
-0.0182898,-0.00245935,0.747431
-0.00475774,-0.00478154,0.749458
-0.0807056,3.71468e-05,0.760008
-0.0230392,-0.00467092,0.72757
-0.0221061,0.00279919,0.735656
-0.0467061,-0.0096346,0.758439
-0.00998493,-0.00874319,0.756618
-0.038187,-0.0143385,0.709657
-0.0417157,-0.0128647,0.70949
-0.0558436,-0.00443464,0.710163
-0.0771607,0.0432987,0.69766
-0.0609228,0.00126228,0.709572
-0.0515133,-0.00836609,0.713388
-0.0382217,-0.0118339,0.716873
-0.0646599,0.0027627,0.709504
-0.0841872,0.0583695,0.695049
-0.0772652,0.0416093,0.701408
-0.0381176,-0.011398,0.719672
-0.0530875,-0.00524776,0.717665
-0.0530761,-0.00535227,0.717687
-0.0545319,-0.00777566,0.704857
-0.0808481,0.0523299,0.689932
-0.0517982,-0.00953045,0.708649
-0.0518599,-0.00957117,0.708675
-0.0407371,-0.00561277,0.721357
-0.0725565,0.0204382,0.710488
-0.0407146,-0.00509254,0.722277
-0.0682209,0.00758511,0.71522
-0.0635248,0.00285859,0.708006
-0.0567086,-0.00505236,0.711178
-0.0552625,-0.00563045,0.711656
-0.0440321,-0.00972954,0.714701
-0.086013,0.0661779,0.691621
-0.0853813,0.0628847,0.693584
-0.0233677,-0.00566444,0.726871
-0.112912,0.0692962,0.696069
-0.0551527,-0.00669218,0.713855
-0.0679908,0.0104128,0.709669
-0.00361046,-0.00283939,0.724308
-0.0318066,-0.00603111,0.726389
-0.0464686,-0.00941799,0.719699
-0.0515886,-0.00654152,0.718688
-0.0647721,0.00467124,0.714213
-0.0549254,-0.00165945,0.72311
-0.0778018,0.0459292,0.705588
-0.0495394,-0.00233804,0.72438
-0.0405973,-0.00513307,0.726739
-0.0589433,0.00350397,0.718961
-0.075507,0.0452781,0.711543
-0.0692952,0.0308498,0.719922
-0.0707784,0.032805,0.719671
-0.0129569,0.00699565,0.735845
-0.013156,0.0063534,0.735954
-0.00539061,-0.00381475,0.74016
-0.0505704,-0.0090406,0.732944
-0.0579668,0.000757632,0.737794
-0.113233,0.0576412,0.707067
0.0350461,-0.00367835,0.766218
0.0377972,-0.00908939,0.77161
-0.110863,0.0211188,0.741035
-0.105588,0.0184628,0.74377
-0.0531387,-0.00761778,0.7323
-0.0532369,-0.00803593,0.732383
-0.0495638,-0.0139736,0.762113
0.00455869,9.26874e-06,0.742386
-0.0503785,-0.0142855,0.763837
-0.0253905,0.00410172,0.737549
-0.0567704,-0.00192004,0.733106
-0.108174,0.029408,0.750417
-0.00207325,-0.00193557,0.745808
-0.0104857,-0.000313443,0.744457
-0.00908742,-0.00138673,0.745179
-0.012534,-0.00207083,0.746266
-0.0217271,-0.00114605,0.745269
-0.00696095,-0.00658362,0.75086
-0.062695,0.0164408,0.737574
-0.04369,-0.000172712,0.745119
0.0350785,-0.00667797,0.761945
-0.048667,-0.000762439,0.74677
-0.0474126,-0.00206135,0.747695
-0.045461,-0.00274151,0.748637
0.027989,-0.00217676,0.765683
0.0383191,-0.010167,0.77293
-0.0526104,-0.0100681,0.757351
-0.00582618,-0.00468164,0.76552
-0.0668982,0.00657125,0.701637
-0.0377596,-0.0145757,0.713657
-0.0711546,0.0211302,0.703483
-0.00441648,-0.00194599,0.720395
-0.029295,-0.0110312,0.720457
-0.0808936,0.0556898,0.698498
-0.06664,0.00804391,0.712074
-0.0784527,0.000309411,0.758997
-0.07949,0.00150442,0.758665
-0.0805439,0.0533399,0.700641
0.00458291,0.00737699,0.725848
0.0169471,0.0133792,0.727376
-0.0662398,0.0054479,0.714506
-0.113597,0.0357359,0.749269
-0.0544344,-0.0014837,0.722026
-0.0817518,-0.00299184,0.762973
-0.030909,-0.00441514,0.730243
